time,enrolled,available,waitlisted,total
2022-11-21T23:05:07,240,0,88,240
2022-11-21T23:14:21,240,0,88,240
2022-11-21T23:23:35,240,0,88,240
2022-11-21T23:32:48,240,0,88,240
2022-11-21T23:42:01,240,0,88,240
2022-11-21T23:51:14,240,0,88,240
2022-11-22T00:00:28,240,0,88,240
2022-11-22T00:09:44,240,0,88,240
2022-11-22T00:19:00,240,0,88,240
2022-11-22T00:28:14,240,0,88,240
2022-11-22T00:37:39,240,0,88,240
2022-11-22T00:46:55,240,0,88,240
2022-11-22T00:56:11,240,0,88,240
2022-11-22T01:05:26,240,0,88,240
2022-11-22T01:14:43,240,0,88,240
2022-11-22T01:23:58,240,0,88,240
2022-11-22T01:33:12,240,0,88,240
2022-11-22T01:42:29,240,0,88,240
2022-11-22T01:51:44,240,0,88,240
2022-11-22T02:00:59,240,0,88,240
2022-11-22T02:10:13,240,0,88,240
2022-11-22T02:19:27,240,0,88,240
2022-11-22T02:28:40,240,0,88,240
2022-11-22T02:37:55,240,0,88,240
2022-11-22T02:47:19,240,0,88,240
2022-11-22T02:56:32,240,0,88,240
2022-11-22T03:05:44,240,0,88,240
2022-11-22T03:14:58,240,0,88,240
2022-11-22T03:24:10,240,0,88,240
2022-11-22T03:33:25,240,0,88,240
2022-11-22T03:42:42,240,0,88,240
2022-11-22T03:51:59,240,0,88,240
2022-11-22T04:01:15,240,0,88,240
2022-11-22T04:15:43,240,0,88,240
2022-11-22T04:25:00,240,0,88,240
2022-11-22T04:35:32,240,0,88,240
2022-11-22T04:45:08,240,0,88,240
2022-11-22T04:54:24,240,0,88,240
2022-11-22T05:03:39,240,0,88,240
2022-11-22T05:12:55,240,0,88,240
2022-11-22T05:22:10,240,0,88,240
2022-11-22T05:31:25,240,0,88,240
2022-11-22T05:40:41,240,0,88,240
2022-11-22T05:49:57,240,0,88,240
2022-11-22T05:59:15,240,0,88,240
2022-11-22T06:08:33,240,0,88,240
2022-11-22T06:17:51,240,0,88,240
2022-11-22T06:27:07,240,0,88,240
2022-11-22T06:36:22,240,0,88,240
2022-11-22T06:45:37,240,0,88,240
2022-11-22T06:54:51,240,0,88,240
2022-11-22T07:04:08,240,0,88,240
2022-11-22T07:13:25,240,0,88,240
2022-11-22T07:22:40,240,0,88,240
2022-11-22T07:31:56,240,0,88,240
2022-11-22T07:41:12,240,0,88,240
2022-11-22T07:50:28,240,0,88,240
2022-11-22T07:59:44,240,0,88,240
2022-11-22T08:09:01,240,0,88,240
2022-11-22T08:18:19,240,0,88,240
2022-11-22T08:27:35,240,0,88,240
2022-11-22T08:37:20,240,0,88,240
2022-11-22T08:46:36,240,0,88,240
2022-11-22T08:55:51,240,0,88,240
